date,mvrv_z_score
2020-08-14,1.6600299596689834
2020-08-15,1.683182834121837
2020-08-16,1.687642132865572
2020-08-17,1.7869225389004646
2020-08-18,1.7068260523019654
2020-08-19,1.6350184891711566
2020-08-20,1.6704631180225749
2020-08-21,1.5833245105433786
2020-08-22,1.607017550096978
2020-08-23,1.6009970535149534
2020-08-24,1.6325010544295695
2020-08-25,1.5122484680045056
2020-08-26,1.5414950916116823
2020-08-27,1.4919247403273452
2020-08-28,1.5501140555459958
2020-08-29,1.542021595004744
2020-08-30,1.5979890264633545
2020-08-31,1.5865805152987316
2020-09-01,1.6744808478504332
2020-09-02,1.5050685976571536
2020-09-03,1.2109960975696947
2020-09-04,1.2399974757924153
2020-09-05,1.1403924705202917
2020-09-06,1.172473162023675
2020-09-07,1.1993006974683005
2020-09-08,1.1305871676298336
2020-09-09,1.1638582840091825
2020-09-10,1.1962363127149442
2020-09-11,1.208096544962285
2020-09-12,1.2172947614546377
2020-09-13,1.1835471720284496
2020-09-14,1.2844928431278282
2020-09-15,1.3123286825971452
2020-09-16,1.3636569177233986
2020-09-17,1.3543277050226037
2020-09-18,1.3412227458265122
2020-09-19,1.391276935183002
2020-09-20,1.3413992069273029
2020-09-21,1.2152732356141198
2020-09-22,1.2286116579683235
2020-09-23,1.1401294644874522
2020-09-24,1.291222863729352
2020-09-25,1.2730687936781135
2020-09-26,1.2863165277513695
2020-09-27,1.2859092342410443
2020-09-28,1.2940534957731624
2020-09-29,1.308619764970416
2020-09-30,1.2900449934131673
2020-10-01,1.2391726657982425
2020-10-02,1.225738091911339
2020-10-03,1.2192340317388786
2020-10-04,1.250913193195521
2020-10-05,1.2829424839421446
2020-10-06,1.2312896415611103
2020-10-07,1.2469149865622764
2020-10-08,1.3100472959003486
2020-10-09,1.3556438800004176
2020-10-10,1.4192670331179646
2020-10-11,1.4425076930620468
2020-10-12,1.4907066212094862
2020-10-13,1.4492697682139897
2020-10-14,1.439563153518765
2020-10-15,1.4634629576315603
2020-10-16,1.4178997241871412
2020-10-17,1.420834267573554
2020-10-18,1.4520557366453648
2020-10-19,1.5196686825307757
2020-10-20,1.5674273882269252
2020-10-21,1.8088662167325336
2020-10-22,1.843554640845377
2020-10-23,1.8224293937110867
2020-10-24,1.865478666046387
2020-10-25,1.84095257026488
2020-10-26,1.8535207903138435
2020-10-27,2.0027216987480374
2020-10-28,1.8949248558249372
2020-10-29,1.9386523383610732
2020-10-30,1.9797749681956651
2020-10-31,2.029050744819456
2020-11-01,1.998164596915433
2020-11-02,1.9491800305369336
2020-11-03,2.020439248662158
2020-11-04,2.0584735356872894
2020-11-05,2.4469895235417947
2020-11-06,2.437071447761519
2020-11-07,2.249580920302568
2020-11-08,2.404266941662193
2020-11-09,2.3528877338055993
2020-11-10,2.3322682685088805
2020-11-11,2.4377496848996856
2020-11-12,2.586812546297073
2020-11-13,2.587876551774518
2020-11-14,2.517199825957539
2020-11-15,2.4837524397353845
2020-11-16,2.677209346158397
2020-11-17,2.9133217342710123
2020-11-18,2.929188542206621
2020-11-19,2.913915780601106
2020-11-20,3.1128282252496287
2020-11-21,3.107019857037057
2020-11-22,3.042896938555666
2020-11-23,2.9887774107575185
2020-11-24,3.175173440716194
2020-11-25,3.0759471842344652
2020-11-26,2.6318443945674463
2020-11-27,2.6129535806823334
2020-11-28,2.765831032165508
2020-11-29,2.874255928692702
2020-11-30,3.267536722633385
2020-12-01,3.024069954650453
2020-12-02,3.0941324368782293
2020-12-03,3.1511959556577613
2020-12-04,2.9584077481048365
2020-12-05,3.050447279793687
2020-12-06,3.0900684048473215
2020-12-07,3.0466733204660135
2020-12-08,2.8072199982519734
2020-12-09,2.8607753355716854
2020-12-10,2.7724655446476643
2020-12-11,2.7103226177236097
2020-12-12,2.8963907400201685
2020-12-13,2.961073356364712
2020-12-14,2.975834339451239
2020-12-15,3.0081769889203276
2020-12-16,3.482676308710559
2020-12-17,3.808575239422205
2020-12-18,3.814743700639013
2020-12-19,4.016644160510867
2020-12-20,3.900775550129992
2020-12-21,3.7258662186857543
2020-12-22,3.9119248827032376
2020-12-23,3.781508810767929
2020-12-24,3.838789659693716
2020-12-25,4.071415530569597
2020-12-26,4.46899180478537
2020-12-27,4.422807615528293
2020-12-28,4.526190781917736
2020-12-29,4.534748917724766
2020-12-30,4.869778048205084
2020-12-31,4.855299833149837
2021-01-01,4.896995943718067
2021-01-02,5.482810791061112
2021-01-03,5.721484384113906
2021-01-04,5.313731518539014
2021-01-05,5.723777353841037
2021-01-06,6.204991336746281
2021-01-07,6.767050292263054
2021-01-08,7.011704363373252
2021-01-09,6.837860766713011
2021-01-10,6.291519316911447
2021-01-11,5.500541640449074
2021-01-12,5.133028142338703
