date,hash_rate_mean
2024-04-11,570611854131880260000
2024-04-12,582017310324986100000
2024-04-13,707993412154901000000
2024-04-14,673059856811193900000
2024-04-15,606570290459450700000
2024-04-16,703260609396682900000
2024-04-17,595633245925269800000
2024-04-18,620633379359595000000
2024-04-19,642247278445107100000
2024-04-20,562936891288725900000
2024-04-21,599412011845199300000
2024-04-22,648903228213493500000
2024-04-23,721642709206117400000
2024-04-24,673770525427047000000
2024-04-25,652005115948240000000
2024-04-26,560993115669417750000
2024-04-27,609466386680223400000
2024-04-28,620800678839001500000
2024-04-29,569284362556195500000
2024-04-30,616564797874882200000
2024-05-01,577469851826525700000
2024-05-02,640009679426156100000
2024-05-03,570072825652260800000
